Category,Style,Palette,Type,Icons,Layout,Charts,Background,Avoid,Pasteable prompt
World,Cape Verde,#003893 #FFFFFF #CF2027 #F7D116,"Cape Verdean maritime, Atlantic island warmth, Creole soul","ten stars circle, volcanic islands, morna music, fishing boat","patriotic colors banner, tourism showcase, cultural icons grid, national pride footer","trade statistics, population pyramid, natural resources, education rates","national colors (#003893) primary, (#FFFFFF) secondary, (#CF2027) accent, flag-inspired gradient","historical inaccuracies, territorial disputes imagery, sensitive political symbols","""Cape Verde, Cape Verdean maritime, Atlantic island warmth, Creole soul, official national palette (#003893 #FFFFFF #CF2027 #F7D116), patriotic colors banner, tourism showcase, cultural icons grid, national pride footer, trade statistics, population pyramid, natural resources, education rates, national colors (#003893) primary, (#FFFFFF) secondary, (#CF2027) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Israel,#0038B8 #FFFFFF,"Israeli Star of David, Mediterranean modern, ancient heritage","Star of David, menorah, Western Wall, Dead Sea, olive branch","flag-inspired design, natural wonders display, cultural mosaic, welcome message footer","development indices, trade partners, cultural output, infrastructure growth","national colors (#0038B8 #FFFFFF), flag-inspired design","incorrect historical facts, trivializing tragedies, insensitive treatment of conflicts","""Israel, Israeli Star of David, Mediterranean modern, ancient heritage, official national palette (#0038B8 #FFFFFF), flag-inspired design, natural wonders display, cultural mosaic, welcome message footer, development indices, trade partners, cultural output, infrastructure growth, national colors (#0038B8 #FFFFFF), flag-inspired design, authentic cultural representation, respectful national identity."""
World,Bulgaria,#FFFFFF #00966E #D62612,"Bulgarian rose, Cyrillic heritage, Balkan strength","rose valley, Rila Monastery, Cyrillic script, yogurt","flag-inspired design, natural wonders display, cultural mosaic, welcome message footer","development indices, trade partners, cultural output, infrastructure growth","national colors (#FFFFFF) primary, (#00966E) secondary, (#D62612) accent, flag-inspired gradient","incorrect historical facts, trivializing tragedies, insensitive treatment of conflicts","""Bulgaria, Bulgarian rose, Cyrillic heritage, Balkan strength, official national palette (#FFFFFF #00966E #D62612), flag-inspired design, natural wonders display, cultural mosaic, welcome message footer, development indices, trade partners, cultural output, infrastructure growth, national colors (#FFFFFF) primary, (#00966E) secondary, (#D62612) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,French Revolution (1789-1799 CE),#002395 #FFFFFF #ED2939 #D4AF37,"Revolutionary Liberté, Bastille storming, guillotine terror","tricolor cockade, Bastille, guillotine, Phrygian cap, Marianne","flag gradient header, geographic highlights, tradition panels, unity slogan footer","economic indicators, cultural exports, geographic data, development metrics","national colors (#002395) primary, (#FFFFFF) secondary, (#ED2939) accent, flag-inspired gradient","religious disrespect, colonial stereotypes, outdated representations, offensive symbols","""French Revolution (1789-1799 CE), Revolutionary Liberté, Bastille storming, guillotine terror, official national palette (#002395 #FFFFFF #ED2939 #D4AF37), flag gradient header, geographic highlights, tradition panels, unity slogan footer, economic indicators, cultural exports, geographic data, development metrics, national colors (#002395) primary, (#FFFFFF) secondary, (#ED2939) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Rwanda,#00A1DE #FBD417 #20603D,"Rwandan thousand hills, gorilla mist, unity renewal","sun and rays, mountain gorilla, thousand hills, Kigali skyline","flag-inspired design, natural wonders display, cultural mosaic, welcome message footer","development indices, trade partners, cultural output, infrastructure growth","national colors (#00A1DE) primary, (#FBD417) secondary, (#20603D) accent, flag-inspired gradient","incorrect historical facts, trivializing tragedies, insensitive treatment of conflicts","""Rwanda, Rwandan thousand hills, gorilla mist, unity renewal, official national palette (#00A1DE #FBD417 #20603D), flag-inspired design, natural wonders display, cultural mosaic, welcome message footer, development indices, trade partners, cultural output, infrastructure growth, national colors (#00A1DE) primary, (#FBD417) secondary, (#20603D) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Vanuatu,#D21034 #009543 #000000 #FDCE12,"Ni-Vanuatu diverse, land diving, Melanesian spirit","boar's tusk, namele fern, land diving tower, kastom village","flag gradient header, geographic highlights, tradition panels, unity slogan footer","economic indicators, cultural exports, geographic data, development metrics","national colors (#D21034) primary, (#009543) secondary, (#000000) accent, flag-inspired gradient","religious disrespect, colonial stereotypes, outdated representations, offensive symbols","""Vanuatu, Ni-Vanuatu diverse, land diving, Melanesian spirit, official national palette (#D21034 #009543 #000000 #FDCE12), flag gradient header, geographic highlights, tradition panels, unity slogan footer, economic indicators, cultural exports, geographic data, development metrics, national colors (#D21034) primary, (#009543) secondary, (#000000) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Iceland,#02529C #FFFFFF #DC1E35,"Icelandic volcanic, Nordic cross, fire and ice","geyser, puffin, Northern Lights, Blue Lagoon, Viking","flag-inspired design, natural wonders display, cultural mosaic, welcome message footer","development indices, trade partners, cultural output, infrastructure growth","national colors (#02529C) primary, (#FFFFFF) secondary, (#DC1E35) accent, flag-inspired gradient","incorrect historical facts, trivializing tragedies, insensitive treatment of conflicts","""Iceland, Icelandic volcanic, Nordic cross, fire and ice, official national palette (#02529C #FFFFFF #DC1E35), flag-inspired design, natural wonders display, cultural mosaic, welcome message footer, development indices, trade partners, cultural output, infrastructure growth, national colors (#02529C) primary, (#FFFFFF) secondary, (#DC1E35) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Azerbaijan,#00B5E2 #E4002B #509E2F #FFFFFF,"Azerbaijani fire land, Caspian elegance, oil flame","flame towers, crescent and star, oil derrick, carpet pattern","flag gradient header, geographic highlights, tradition panels, unity slogan footer","economic indicators, cultural exports, geographic data, development metrics","national colors (#00B5E2) primary, (#E4002B) secondary, (#509E2F) accent, flag-inspired gradient","religious disrespect, colonial stereotypes, outdated representations, offensive symbols","""Azerbaijan, Azerbaijani fire land, Caspian elegance, oil flame, official national palette (#00B5E2 #E4002B #509E2F #FFFFFF), flag gradient header, geographic highlights, tradition panels, unity slogan footer, economic indicators, cultural exports, geographic data, development metrics, national colors (#00B5E2) primary, (#E4002B) secondary, (#509E2F) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Cyprus,#FFFFFF #D57800 #4E5B31,"Cypriot Mediterranean, copper island, olive heritage","copper-colored map, olive branches, Aphrodite, ancient ruins","national emblem header, landmark panorama, heritage celebration, country slogan footer","economic sectors, demographic trends, cultural heritage sites, environmental data","national colors (#FFFFFF) primary, (#D57800) secondary, (#4E5B31) accent, flag-inspired gradient","flag desecration, inappropriate national symbols, cultural appropriation, disrespectful depictions","""Cyprus, Cypriot Mediterranean, copper island, olive heritage, official national palette (#FFFFFF #D57800 #4E5B31), national emblem header, landmark panorama, heritage celebration, country slogan footer, economic sectors, demographic trends, cultural heritage sites, environmental data, national colors (#FFFFFF) primary, (#D57800) secondary, (#4E5B31) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Pakistan,#01411C #FFFFFF,"Pakistani crescent, Indus heritage, Islamic Republic","crescent and star, Badshahi Mosque, K2 mountain, truck art","flag-inspired design, natural wonders display, cultural mosaic, welcome message footer","development indices, trade partners, cultural output, infrastructure growth","national colors (#01411C #FFFFFF), flag-inspired design","incorrect historical facts, trivializing tragedies, insensitive treatment of conflicts","""Pakistan, Pakistani crescent, Indus heritage, Islamic Republic, official national palette (#01411C #FFFFFF), flag-inspired design, natural wonders display, cultural mosaic, welcome message footer, development indices, trade partners, cultural output, infrastructure growth, national colors (#01411C #FFFFFF), flag-inspired design, authentic cultural representation, respectful national identity."""
